id,name,abbrev,division,level,color,logo_url
verona-hand,Verona - Hand,Hand,U12,D2,#1f9d57,/windmill/teams/verona-hand.png
johnson-creek-bluejays-goulet,Johnson Creek Bluejays - Goulet,Goulet,U10,D3,#9c6a10,/windmill/teams/johnson-creek-bluejays-goulet.png
johnson-creek-bluejays-tbd,Johnson Creek Bluejays - TBD,TBD,U8 Mach,D3,#2b6f61,/windmill/teams/johnson-creek-bluejays-tbd.png
watertown-thunder-kleine,Watertown Thunder - Kleine,Kleine,U10,D3,#e8a33d,/windmill/teams/watertown-thunder-kleine.png
watertown-thunder-hisel,Watertown Thunder - Hisel,Hisel,U14,D1,#14564a,/windmill/teams/watertown-thunder-hisel.png
watertown-thunder-hisel-2,Watertown Thunder - Hisel,Hisel,uHigh,D1,#1f9d57,/windmill/teams/watertown-thunder-hisel-2.png
janesville-cyclones-forest,Janesville Cyclones - Forest,Forest,U14,D1,#9c6a10,/windmill/teams/janesville-cyclones-forest.png
waterloo-hennessy,Waterloo - Hennessy,Hennessy,U8 Live,D4,#9c6a10,/windmill/teams/waterloo-hennessy.png
waterloo-zimmermann,Waterloo - Zimmermann,Zimmermann,U10,D4,#1f9d57,/windmill/teams/waterloo-zimmermann.png
waterloo-skalitzky,Waterloo - Skalitzky,Skalitzky,U12,D3,#2b6f61,/windmill/teams/waterloo-skalitzky.png
waterloo-schaumann,Waterloo - Schaumann,Schaumann,uHigh,D2,#2b6f61,/windmill/teams/waterloo-schaumann.png
waterloo-tbd,Waterloo - TBD,TBD,U8 Mach,D4,#b5791a,/windmill/teams/waterloo-tbd.png
milton-wildcats-palan,Milton Wildcats - Palan,Palan,U12,D3,#b5791a,/windmill/teams/milton-wildcats-palan.png
milton-wildcats-lanser,Milton Wildcats - Lanser,Lanser,U10,D3,#2b6f61,/windmill/teams/milton-wildcats-lanser.png
bdybs-green-kahler,BDYBS Green - Kahler,Kahler,U8 Mach,D4,#0f5a4d,/windmill/teams/bdybs-green-kahler.png
bdybs-gold-monheim,BDYBS Gold - Monheim,Monheim,U8 Mach,D4,#0e3d34,/windmill/teams/bdybs-gold-monheim.png
bdybs-rookies-gold-caves,BDYBS Rookies Gold - Caves,Caves,U8 Live,D4,#e8a33d,/windmill/teams/bdybs-rookies-gold-caves.png
